INFO 2026-06-21 14:07:23,620 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,621 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,621 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,623 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,623 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,624 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,627 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,636 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,636 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,636 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2026-06-21 14:07:23,638 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2026-06-21 14:08:27,746 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12749
INFO 2026-06-21 14:08:27,764 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 200 608
INFO 2026-06-21 14:08:27,769 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 200 164
INFO 2026-06-21 14:08:27,769 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 200 4647
INFO 2026-06-21 14:08:27,770 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 200 30131
INFO 2026-06-21 14:08:27,770 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 200 50918
INFO 2026-06-21 14:08:27,772 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 200 27176
INFO 2026-06-21 14:08:27,773 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 200 200633
INFO 2026-06-21 14:08:27,774 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 200 330254
INFO 2026-06-21 14:08:27,780 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 200 15524
INFO 2026-06-21 14:08:27,784 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 200 837
INFO 2026-06-21 14:08:27,787 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 200 38101
INFO 2026-06-21 14:08:27,791 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 200 703
INFO 2026-06-21 14:08:27,795 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 200 44758
INFO 2026-06-21 14:08:28,097 basehttp "GET /static/unfold/fonts/inter/Inter-Regular.woff2 HTTP/1.1" 200 111268
INFO 2026-06-21 14:08:28,098 basehttp "GET /static/unfold/fonts/inter/Inter-SemiBold.woff2 HTTP/1.1" 200 114812
INFO 2026-06-21 14:08:28,098 basehttp "GET /static/unfold/fonts/inter/Inter-Medium.woff2 HTTP/1.1" 200 114348
INFO 2026-06-21 14:08:28,099 basehttp "GET /static/unfold/fonts/material-symbols/Material-Symbols-Outlined.woff2 HTTP/1.1" 200 291696
WARNING 2026-06-21 14:08:28,136 log Not Found: /favicon.ico
WARNING 2026-06-21 14:08:28,136 basehttp "GET /favicon.ico HTTP/1.1" 404 7872
INFO 2026-06-21 14:08:33,660 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-06-21 14:08:33,694 basehttp "GET /admin/ HTTP/1.1" 200 45759
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,716 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:08:33,718 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
